original,normalized_value
airflow,airflow
airtable,airtable
alteryx,alteryx
angular,angular
angular.js,angular
ansible,ansible
apl,apl
arch,arch
asana,asana
asp.net,asp.net
asp.net core,asp.net core
asp.netcore,asp.net core
assembly,assembly
atlassian,atlassian
aurora,aurora
aws,aws
azure,azure
bash,bash
bigquery,bigquery
bitbucket,bitbucket
blazor,blazor
c,c
c#,c#
c++,c++
capacitor,capacitor
cassandra,cassandra
centos,centos
chainer,chainer
chef,chef
clickup,clickup
clojure,clojure
cobol,cobol
codecommit,codecommit
cognos,cognos
colocation,colocation
confluence,confluence
cordova,cordova
couchbase,couchbase
couchdb,couchdb
crystal,crystal
css,css
dart,dart
databricks,databricks
datarobot,datarobot
dax,dax
db2,db2
debian,debian
delphi,delphi
deno,deno
digitalocean,digitalocean
dingtalk,dingtalk
django,django
dlib,dlib
docker,docker
dplyr,dplyr
drupal,drupal
dynamodb,dynamodb
elasticsearch,elasticsearch
electron,electron
elixir,elixir
ember.js,ember
erlang,erlang
esquisse,esquisse
excel,excel
express,express
f#,f#
fastapi,fastapi
fastify,fastify
fedora,fedora
firebase,firebase
firestore,firestore
flask,flask
flow,flow
flutter,flutter
fortran,fortran
gatsby,gatsby
gcp,gcp
gdpr,gdpr
ggplot2,ggplot2
git,git
github,github
gitlab,gitlab
go,go
golang,golang
google chat,google chat
graphql,graphql
groovy,groovy
gtx,gtx
hadoop,hadoop
haskell,haskell
heroku,heroku
homebrew,homebrew
html,html
hugging face,hugging face
huggingface,hugging face
ibm cloud,ibm cloud
ionic,ionic
java,java
javascript,javascript
jenkins,jenkins
jira,jira
jquery,jquery
julia,julia
jupyter,jupyter
kafka,kafka
kali,kali
keras,keras
kotlin,kotlin
kubernetes,kubernetes
laravel,laravel
linode,linode
linux,linux
lisp,lisp
looker,looker
lua,lua
macos,macos
mariadb,mariadb
matlab,matlab
matplotlib,matplotlib
mattermost,mattermost
microsoft lists,microsoft lists
microsoft teams,microsoft teams
microstrategy,microstrategy
mlpack,mlpack
mlr,mlr
monday.com,monday.com
mongo,mongodb
mongodb,mongodb
ms access,msaccess
msaccess,msaccess
mxnet,mxnet
mysql,mysql
neo4j,neo4j
next.js,next.js
nltk,nltk
node,node.js
node.js,node.js
no-sql,no-sql
nosql,no-sql
notion,notion
npm,npm
nuix,nuix
numpy,numpy
nuxt.js,nuxt.js
objective-c,objective-c
ocaml,ocaml
opencv,opencv
openstack,openstack
oracle,oracle
outlook,outlook
ovh,ovh
pandas,pandas
pascal,pascal
perl,perl
phoenix,phoenix
php,php
planner,planner
play framework,play framework
plotly,plotly
postgresql,postgresql
power bi,power bi
powerbi,power bi
powerpoint,powerpoint
powershell,powershell
pulumi,pulumi
puppet,puppet
pyspark,pyspark
python,python
pytorch,pytorch
qlik,qlik
qt,qt
r,r
react,react
react.js,react
redhat,redhat
redis,redis
redshift,redshift
ringcentral,ringcentral
rocketchat,rocketchat
rshiny,rshiny
ruby,ruby
ruby on rails,ruby on rails
rubyon rails,ruby on rails
rust,rust
sap,sap
sas,sas
sass,sass
scala,scala
scikit-learn,scikit-learn
seaborn,seaborn
selenium,selenium
sharepoint,sharepoint
sheets,sheets
shell,shell
shogun,shogun
slack,slack
smartsheet,smartsheet
snowflake,snowflake
solidity,solidity
spark,spark
splunk,splunk
spreadsheet,spreadsheet
spring,spring
spss,spss
sql,sql
sqlite,sqlite
sql server,sql server
sqlserver,sql server
ssis,ssis
ssrs,ssrs
suse,suse
svelte,svelte
svn,svn
swift,swift
symfony,symfony
symphony,symphony
tableau,tableau
tensorflow,tensorflow
terminal,terminal
terraform,terraform
theano,theano
tidyr,tidyr
tidyverse,tidyverse
trello,trello
t-sql,t-sql
twilio,twilio
typescript,typescript
ubuntu,ubuntu
unify,unify
unity,unity
unix,unix
unreal,unreal
vba,vba
vb.net,vb.net
visio,visio
visual basic,visual basic
visualbasic,visual basic
vmware,vmware
vue,vue
vue.js,vue
watson,watson
webex,webex
wimi,wimi
windows,windows
wire,wire
word,word
workfront,workfront
wrike,wrike
wsl,wsl
xamarin,xamarin
yarn,yarn
zoom,zoom
